"CÓDIGO ÓRGÃO SUPERIOR";"NOME ÓRGÃO SUPERIOR";"CÓDIGO ÓRGÃO";"NOME ÓRGÃO";"CÓDIGO UNIDADE GESTORA";"NOME UNIDADE GESTORA";"CATEGORIA ECONÔMICA";"ORIGEM RECEITA";"ESPÉCIE RECEITA";"DETALHAMENTO";"VALOR PREVISTO ATUALIZADO";"VALOR LANÇADO";"VALOR REALIZADO";"PERCENTUAL REALIZADO";"DATA LANÇAMENTO";"ANO EXERCÍCIO"
"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo direto";"170013";"SETORIAL ORÇAMENTÁRIA E FINANCEIRA / ME";"Receitas Correntes";"Outras Receitas Correntes";"Bens, Direitos e Valores Incorporados ao Patr";"Sem informação";"0,00";"0,00";"25774959,63";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo direto";"170013";"SETORIAL ORÇAMENTÁRIA E FINANCEIRA / ME";"Receitas Correntes";"Outras Receitas Correntes";"Bens, Direitos e Valores Incorporados ao Patr";"RECEITA DIV.ATIV TX FISCALIZ DE INSTALACAO";"0,00";"0,00";"15995,69";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo direto";"170013";"SETORIAL ORÇAMENTÁRIA E FINANCEIRA / ME";"Receitas Correntes";"Outras Receitas Correntes";"Bens, Direitos e Valores Incorporados ao Patr";"REC.DIVIDA ATIVA DO ITR-MUNIC.NAO CONVENIADOS";"0,00";"0,00";"868094,30";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo direto";"170013";"SETORIAL ORÇAMENTÁRIA E FINANCEIRA / ME";"Receitas Correntes";"Receita Patrimonial";"Delegação de Serviços Públicos Mediante Conce";"RECEITA DE OUTORGA DOS SERV. TELECOMUNICACAO";"0,00";"0,00";"4851293930,66";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo direto";"170013";"SETORIAL ORÇAMENTÁRIA E FINANCEIRA / ME";"Receitas Correntes";"Outras Receitas Correntes";"Bens, Direitos e Valores Incorporados ao Patr";"REC.DIVIDA ATIVA DO ITR-MUNIC.NAO CONVENIADOS";"2504414,00";"0,00";"0,00";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"30204";"Instituto Nacional da Propriedade Industrial";"183038";"INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL";"Receitas Correntes";"Receita de Serviços";"Sem informação";"SERVICOS DE REGISTRO PROGRAMA DE COMPUTADOR";"0,00";"0,00";"376428,00";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo direto";"170013";"SETORIAL ORÇAMENTÁRIA E FINANCEIRA / ME";"Receitas Correntes";"Outras Receitas Correntes";"Bens, Direitos e Valores Incorporados ao Patr";"REC DE PARCELAMENTOS - DIV ATIVA DO IMP EXP";"0,00";"0,00";"1007948,85";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo direto";"170013";"SETORIAL ORÇAMENTÁRIA E FINANCEIRA / ME";"Receitas Correntes";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"REC PARC - MULTA/JUROS DE MORA DIV ATIVA CPMF";"0,00";"0,00";"46239,95";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo direto";"170013";"SETORIAL ORÇAMENTÁRIA E FINANCEIRA / ME";"Receitas Correntes - intra-orçamentárias";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"Sem informação";"0,00";"0,00";"16483,66";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo direto";"170013";"SETORIAL ORÇAMENTÁRIA E FINANCEIRA / ME";"Receitas Correntes";"Outras Receitas Correntes";"Bens, Direitos e Valores Incorporados ao Patr";"REC DE PARCELAMENTOS - DIV ATIVA DO IMP EXP";"0,00";"0,00";"251987,19";"0,00";"31/12/2014";"2014"
